component,layer,head,ap_impact_pd,ct_rescue_pd,combined_score
L1H8,1,8,-0.00030048736711829616,-0.0005000102810743812,-0.00038029653270073017
L8H2,8,2,-0.0003449204491405844,0.00012605292041123484,-0.0001565311013198567
L1H9,1,9,-0.00035419260583269274,-0.0003990349246234537,-0.00037212953334899714
L6H13,6,13,-0.00046836094158453356,-0.0007480215735552465,-0.0005802251943728188
L2H10,2,10,-0.0004701672530755818,-0.0007262985880782669,-0.0005726197870766559
L5H4,5,4,-0.0005322796542469588,-0.0015343173248011377,-0.0009330947224686303
L6H15,6,15,-0.0005584606310216067,0.001049139877644989,8.457957244503158e-05
L5H2,5,2,-0.0005954424055610863,-0.000623407160363576,-0.0006066283074820822
L8H6,8,6,-0.0006938184179910989,-0.0009179151639706618,-0.0007834571163829241
L4H1,4,1,-0.0007008554005041301,-0.0009150228849271747,-0.0007865223942733479
L7H12,7,12,-0.0007233852293433429,-0.00011288320145963482,-0.00047918441818985965
L2H15,2,15,-0.0007921210149439695,0.0021885524435740766,0.0004001483684632491
L1H6,1,6,-0.0007980109714880168,-0.0006059909739145608,-0.0007212029724586344
L2H6,2,6,-0.0008508090565844117,-0.001460229478231323,-0.0010945772252431763
L2H9,2,9,-0.000865311884298503,-0.00044476404422666427,-0.0006970927482697676
L6H8,6,8,-0.0008699901220274864,0.00020011314531653834,-0.00044194881508987646
L8H5,8,5,-0.0009167245248469236,-0.0010250566936120808,-0.0009600573923529864
L19H4,19,4,-0.000989422565553233,-0.000882879989903107,-0.0009468055352931826
L24H12,24,12,-0.001000572268555766,0.0007335085694383237,-0.00030693993335813015
L22H11,22,11,-0.0010091706020075586,-0.0016013398403074142,-0.0012460382973275008
L8H0,8,0,-0.0010189297722607016,-0.0008343196496730654,-0.0009450857232256471
L24H13,24,13,-0.0010427229288147988,-0.0010505449481127416,-0.001045851736533976
L1H15,1,15,-0.001043978987670502,-0.0010997769309253336,-0.0010662981649724346
L22H2,22,2,-0.0010521775338707684,0.002990747370370972,0.000564992427825928
L0H13,0,13,-0.0010775974610957029,-0.0010132128145636798,-0.0010518436024828937
L5H11,5,11,-0.001081191185044017,-0.0010553518446480004,-0.0010708554488856104
L0H1,0,1,-0.001085805456812805,-0.0007371946078975622,-0.000946361117246708
L0H5,0,5,-0.0011087845011454878,-0.0009083442571686806,-0.001028608403554765
L6H11,6,11,-0.001112801999580526,-0.0006367447899608969,-0.0009223791157326744
L1H7,1,7,-0.0011372864246368408,-0.0009265447535166116,-0.001052989756188749
L6H7,6,7,-0.0011418694403113605,-0.0006574952020877989,-0.0009481197450219357
L0H7,0,7,-0.001152674599391612,-0.0008227112816601156,-0.0010206892722990136
L22H5,22,5,-0.0011744099419290777,-0.0008622771356163739,-0.0010495568194039961
L5H9,5,9,-0.0011915629956780194,-0.0006953703194130245,-0.0009930859251720213
L5H7,5,7,-0.0012028813362121582,-0.0013544915652856648,-0.001263525427841561
